cik,event_date,filing_url
1045810,2019-03-11,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000031/mellanoxform8-k.htm
1318605,2019-05-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459019016764/tsla-8k_20190503.htm
1318605,2017-03-22,https://www.sec.gov/Archives/edgar/data/1318605/000119312517092269/d341621d8k.htm
1730168,2023-11-22,https://www.sec.gov/Archives/edgar/data/1730168/000114036123054354/ef20015100_form8k.htm
1730168,2023-08-16,https://www.sec.gov/Archives/edgar/data/1730168/000114036123040084/brhc20057578_8k.htm
1730168,2021-01-19,https://www.sec.gov/Archives/edgar/data/1730168/000119312521011422/d161188d8k.htm
1730168,2019-11-04,https://www.sec.gov/Archives/edgar/data/1730168/000119312519282605/d808250d8k.htm
1730168,2018-11-05,https://www.sec.gov/Archives/edgar/data/1730168/000119312518317917/d648705d8k.htm
1403161,2016-05-10,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000027/a8-k101.htm
34088,2023-10-11,https://www.sec.gov/Archives/edgar/data/34088/000095010323014885/dp201349_8k.htm
1141391,2022-11-14,https://www.sec.gov/Archives/edgar/data/1141391/000095010322019608/dp184177_8k.htm
354950,2024-05-09,https://www.sec.gov/Archives/edgar/data/354950/000035495024000114/hd-20240507.htm
354950,2024-03-28,https://www.sec.gov/Archives/edgar/data/354950/000110465924040163/tm2410002d1_8k.htm
354950,2020-11-18,https://www.sec.gov/Archives/edgar/data/354950/000119312520296960/d28049d8k.htm
1551152,2019-11-26,https://www.sec.gov/Archives/edgar/data/1551152/000110465919067264/tm1923664d1_8k.htm
1551152,2019-11-13,https://www.sec.gov/Archives/edgar/data/1551152/000110465919063366/tm1922692-1_8k.htm
93410,2023-10-23,https://www.sec.gov/Archives/edgar/data/93410/000095014223002670/eh230413259_8k-agmt.htm
93410,2019-04-16,https://www.sec.gov/Archives/edgar/data/93410/000095014219000831/eh1900524_8k.htm
796343,2023-12-18,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm
796343,2023-09-14,https://www.sec.gov/Archives/edgar/data/796343/000079634323000198/adbe-20230908.htm
796343,2023-01-19,https://www.sec.gov/Archives/edgar/data/796343/000119312523010953/d400939d8k.htm
796343,2022-09-15,https://www.sec.gov/Archives/edgar/data/796343/000114036122033412/ny20005310x2_8k.htm
796343,2022-07-01,https://www.sec.gov/Archives/edgar/data/796343/000119312522186450/d368091d8k.htm
796343,2018-10-19,https://www.sec.gov/Archives/edgar/data/796343/000079634318000172/adbe8k-marketofinancing101.htm
796343,2018-09-21,https://www.sec.gov/Archives/edgar/data/796343/000079634318000157/adbe8-k.htm
1108524,2025-06-24,https://www.sec.gov/Archives/edgar/data/1108524/000119312525145772/d71627d8k.htm
858877,2024-02-26,https://www.sec.gov/Archives/edgar/data/858877/000119312524046231/d751183d8k.htm
97745,2023-12-05,https://www.sec.gov/Archives/edgar/data/97745/000114036123056365/ny20015413x4_8k.htm
97745,2023-08-10,https://www.sec.gov/Archives/edgar/data/97745/000114036123039086/brhc20057279_8k.htm
97745,2022-11-21,https://www.sec.gov/Archives/edgar/data/97745/000114036122042550/ny20005859x7_8k.htm
97745,2022-10-20,https://www.sec.gov/Archives/edgar/data/97745/000114036122037956/ny20005499x4_8k.htm
97745,2022-01-07,https://www.sec.gov/Archives/edgar/data/97745/000110465922002262/tm221977d1_8k.htm
97745,2020-12-04,https://www.sec.gov/Archives/edgar/data/97745/000110465920132419/tm2037624d1_8k.htm
97745,2020-07-16,https://www.sec.gov/Archives/edgar/data/97745/000110465920083943/tm2024968d1_8k.htm
97745,2020-06-11,https://www.sec.gov/Archives/edgar/data/97745/000110465920072419/tm2022048-1_8k.htm
97745,2020-04-23,https://www.sec.gov/Archives/edgar/data/97745/000110465920050324/tm2016586d1_8k.htm
97745,2020-03-09,https://www.sec.gov/Archives/edgar/data/97745/000110465920030289/tm2011538-4_8k.htm
2488,2022-02-14,https://www.sec.gov/Archives/edgar/data/2488/000000248822000031/amd-20220214.htm
50863,2024-11-27,https://www.sec.gov/Archives/edgar/data/50863/000005086324000169/intc-20241125.htm
